zipcode,city,county,ziptype
75933,Call,Newton,Standard
75934,Camden,Polk,Box
75935,Center,Shelby,Standard
75936,Chester,Tyler,Standard
75937,Chireno,Nacogdoches,Standard
75938,Colmesneil,Tyler,Standard
75939,Corrigan,Polk,Standard
75941,Diboll,Angelina,Standard
75942,Doucette,Tyler,Box
75943,Douglass,Nacogdoches,Standard
75944,Etoile,Nacogdoches,Standard
75946,Garrison,Nacogdoches,Standard
75948,Hemphill,Sabine,Standard
75949,Huntington,Angelina,Standard
75951,Jasper,Jasper,Standard
75954,Joaquin,Shelby,Standard
75956,Kirbyville,Jasper,Standard
75958,Martinsville,Nacogdoches,Box
75959,Milam,Sabine,Standard
75960,Moscow,Polk,Standard
75961,Nacogdoches,Nacogdoches,Standard
75962,Nacogdoches,Nacogdoches,Unique
75963,Nacogdoches,Nacogdoches,Box
75964,Nacogdoches,Nacogdoches,Standard
75965,Nacogdoches,Nacogdoches,Standard
75966,Newton,Newton,Standard
75968,Pineland,Sabine,Standard
75969,Pollok,Angelina,Standard
75972,Augustine,Augustine,Standard
75973,Shelbyville,Shelby,Standard
75974,Tenaha,Shelby,Standard
75975,Timpson,Shelby,Standard
75976,Wells,Cherokee,Box
75977,Wiergate,Newton,Standard
75978,Woden,Nacogdoches,Box
75979,Woodville,Tyler,Standard
75980,Zavalla,Angelina,Standard
75990,Woodville,Tyler,Unique
76001,Arlington,Tarrant,Standard
76002,Arlington,Tarrant,Standard
76003,Arlington,Tarrant,Box
76004,Arlington,Tarrant,Box
76005,Arlington,Tarrant,Standard
76006,Arlington,Tarrant,Standard
76007,Arlington,Tarrant,Box
76008,Aledo,Parker,Standard
76009,Alvarado,Johnson,Standard
76010,Arlington,Tarrant,Standard
76011,Arlington,Tarrant,Standard
76012,Arlington,Tarrant,Standard
76013,Arlington,Tarrant,Standard
76014,Arlington,Tarrant,Standard
76015,Arlington,Tarrant,Standard
76016,Arlington,Tarrant,Standard
76017,Arlington,Tarrant,Standard
76018,Arlington,Tarrant,Standard
76019,Arlington,Tarrant,Unique
76020,Azle,Tarrant,Standard
76021,Bedford,Tarrant,Standard
76022,Bedford,Tarrant,Standard
76023,Boyd,Wise,Standard
76028,Burleson,Johnson,Standard
76031,Cleburne,Johnson,Standard
76033,Cleburne,Johnson,Standard
76034,Colleyville,Tarrant,Standard
76035,Cresson,Hood,Standard
76036,Crowley,Tarrant,Standard
76039,Euless,Tarrant,Standard
76040,Euless,Tarrant,Standard
76041,Forreston,Ellis,Standard
76043,Rose,Somervell,Standard
76044,Godley,Johnson,Standard
76048,Granbury,Hood,Standard
76049,Granbury,Hood,Standard
76050,Grandview,Johnson,Standard
76051,Grapevine,Tarrant,Standard
76052,Haslet,Tarrant,Standard
76053,Hurst,Tarrant,Standard
76054,Hurst,Tarrant,Standard
76055,Itasca,Hill,Standard
76058,Joshua,Johnson,Standard
76059,Keene,Johnson,Standard
76060,Kennedale,Tarrant,Standard
76061,Lillian,Johnson,Box
76063,Mansfield,Tarrant,Standard
76064,Maypearl,Ellis,Standard
76065,Midlothian,Ellis,Standard
76066,Millsap,Parker,Standard
76067,Wells,Pinto,Standard
76068,Wells,Pinto,Box
76070,Nemo,Somervell,Standard
76071,Newark,Wise,Standard
76073,Paradise,Wise,Standard
76077,Rainbow,Somervell,Standard
76078,Rhome,Wise,Standard
76082,Springtown,Parker,Standard
76084,Venus,Johnson,Standard
76085,Weatherford,Parker,Standard
76086,Weatherford,Parker,Standard
76087,Weatherford,Parker,Standard
76088,Weatherford,Parker,Standard
76092,Southlake,Tarrant,Standard
76093,Vista,Johnson,Standard
76094,Arlington,Tarrant,Box
76095,Bedford,Tarrant,Box
76096,Arlington,Tarrant,Box
76097,Burleson,Johnson,Box
76098,Azle,Parker,Box
76099,Grapevine,Tarrant,Box
76101,Worth,Tarrant,Box
76102,Worth,Tarrant,Standard
76103,Worth,Tarrant,Standard
76104,Worth,Tarrant,Standard
76105,Worth,Tarrant,Standard
76106,Worth,Tarrant,Standard
76107,Worth,Tarrant,Standard
76108,Worth,Tarrant,Standard
76109,Worth,Tarrant,Standard
76110,Worth,Tarrant,Standard
76111,Worth,Tarrant,Standard
76112,Worth,Tarrant,Standard
76113,Worth,Tarrant,Box
76114,Worth,Tarrant,Standard
76115,Worth,Tarrant,Standard
76116,Worth,Tarrant,Standard
76117,City,Tarrant,Standard
76118,Worth,Tarrant,Standard
76119,Worth,Tarrant,Standard
76120,Worth,Tarrant,Standard
76121,Worth,Tarrant,Box
76122,Worth,Tarrant,Unique
76123,Worth,Tarrant,Standard
76124,Worth,Tarrant,Box
76126,Worth,Tarrant,Standard
76127,JRB,Tarrant,Standard
76129,Worth,Tarrant,Unique
76130,Worth,Tarrant,Unique
76131,Worth,Tarrant,Standard
76132,Worth,Tarrant,Standard
76133,Worth,Tarrant,Standard
76134,Worth,Tarrant,Standard
76135,Worth,Tarrant,Standard
76136,Worth,Tarrant,Box
76137,Worth,Tarrant,Standard
76140,Worth,Tarrant,Standard
76147,Worth,Tarrant,Box
76148,Worth,Tarrant,Standard
76150,Worth,Tarrant,Unique
76155,Worth,Tarrant,Standard
76161,Worth,Tarrant,Box
76162,Worth,Tarrant,Box
76163,Worth,Tarrant,Box
76164,Worth,Tarrant,Standard
76166,Worth,Tarrant,Unique
76177,Worth,Tarrant,Standard
76179,Worth,Tarrant,Standard
76180,Hills,Tarrant,Standard
76181,Worth,Tarrant,Box
76182,Hills,Tarrant,Standard
76185,Worth,Tarrant,Box
76190,Worth,Tarrant,Unique
76191,Worth,Tarrant,Unique
76192,Worth,Tarrant,Unique
76193,Worth,Tarrant,Unique
76195,Worth,Tarrant,Unique
76196,Worth,Tarrant,Unique
76197,Worth,Tarrant,Unique
76198,Worth,Tarrant,Unique
76199,Worth,Tarrant,Unique
76201,Denton,Denton,Standard
76202,Denton,Denton,Box
76203,Denton,Denton,Box
76204,Denton,Denton,Box
76205,Denton,Denton,Standard
76206,Denton,Denton,Box
76207,Denton,Denton,Standard
76208,Denton,Denton,Standard
76209,Denton,Denton,Standard
76210,Denton,Denton,Standard
76225,Alvord,Wise,Standard
76226,Argyle,Denton,Standard
76227,Aubrey,Denton,Standard
76228,Bellevue,Clay,Standard
76230,Bowie,Montague,Standard
76233,Collinsville,Grayson,Standard
76234,Decatur,Wise,Standard
76238,Era,Cooke,Standard
76239,Forestburg,Montague,Standard
76240,Gainesville,Cooke,Standard
76241,Gainesville,Cooke,Box
76244,Keller,Tarrant,Standard
76245,Gordonville,Grayson,Standard
76246,Greenwood,Wise,Box
76247,Justin,Denton,Standard
76248,Keller,Tarrant,Standard
76249,Krum,Denton,Standard
76250,Lindsay,Cooke,Standard
76251,Montague,Montague,Standard
76252,Muenster,Cooke,Standard
76253,Myra,Cooke,Box
76255,Nocona,Montague,Standard
76258,Point,Denton,Standard
76259,Ponder,Denton,Standard
76261,Ringgold,Montague,Standard
76262,Roanoke,Denton,Standard
76263,Rosston,Cooke,Standard
76264,Sadler,Grayson,Standard
